	Richness	Normalized.Richness	Effective.Richness	Shannon.Index	Shannon.Effective	Simpson.Index	Simpson.Effective	Evenness
301-1-59020	204	153	68	4.06485643319933	58.26	0.0425614737415233	23.5	0.52980071516145
302-2-89334	198	141	64	4.18460730937209	65.67	0.0311439316927039	32.11	0.548487574739746
304-4-78826	212	147	51	3.86610799252283	47.76	0.0451987032387174	22.12	0.500277922793572
305-5-16641	203	142	65	4.24049138901476	69.44	0.026118905016912	38.29	0.553203595358145
306-6-83608	313	207	92	4.8035001689207	121.94	0.0144153671763	69.37	0.579431754934796
