87	42	48.27586207	40		42	22	17
87	43	49.42528736	39		43	22	17
87	42	48.27586207	45		42	22	17
87	40	45.97701149	36		40	20	16
87	43	49.42528736	42		43	20	16
87	41	47.12643678	41		41	20	16
125	50	40	37		50	29	19
125	48	38.4	32		48	29	19
125	51	40.8	36		51	28	19
125	52	41.6	34		52	26	18
125	47	37.6	33		47	24	18
125	50	40	33		50	26	18
58	29	50	45		29	10	9
58	29	50	44		29	9	9
58	29	50	50		29	9	9
58	29	50	49		29	9	6
58	29	50	46		29	9	7
58	29	50	45		29	8	8
dark							
24	22	91.66666667	37				
24	22	91.66666667	46				
24	22	91.66666667	48				
24	20	83.33333333	43				
24	20	83.33333333	46				
24	20	83.33333333	46				
37	29	78.37837838	47				
37	29	78.37837838	45				
37	28	75.67567568	43				
37	26	70.27027027	33				
37	24	64.86486486	32				
37	26	70.27027027	31				
14	10	71.42857143	8				
14	9	64.28571429	11				
14	9	64.28571429	14				
14	9	64.28571429	11				
14	9	64.28571429	14				
14	8	57.14285714	14				
							
light							
17	17	100	31				
17	17	100	34				
17	17	100	34				
17	16	94.11764706	31				
17	16	94.11764706	32				
17	16	94.11764706	32				
31	19	61.29032258	56				
31	19	61.29032258	56				
31	19	61.29032258	57				
31	18	58.06451613	66				
31	18	58.06451613	57				
31	18	58.06451613	57				
14	9	64.28571429	30				
14	9	64.28571429	34				
14	9	64.28571429	22				
14	6	42.85714286	9				
14	7	50	9				
14	8	57.14285714	20				
