SampleID	Type
std23-134-91-23	std
std17-599917-f-cm174-kg63	std
std17-515917-f-cm168-kg55	std
std19-S227	std
std19-S184	std
std23-113-50-23	std
std19-S210	std
std16-10	std
std16-55	std
std17-537017-f-cm157-kg50	std
std16-39	std
std18-18136	std
std16-43	std
std18-18185	std
std18-18205	std
std19-S200	std
std18-1812	std
std18-18222	std
std19-S216	std
std19-S209	std
std16-56	std
std17-560417-f-cm166-kg70	std
std18-1813	std
std19-S226	std
std23-137-94-23	std
std16-65	std
std16-62	std
std16-45	std
std17-533117-f-cm160-kg49	std
std19-S206	std
std23-128-84-23	std
std18-1817	std
std16-35	std
std23-143-101-23	std
std18-18199	std
std17-586017-f-cm164-kg56	std
std18-18193	std
std17-521617-f-cm165-kg70	std
std18-18169	std
std18-18189	std
std18-18104	std
std19-S208	std
std23-159-116-23	std
std23-147-105-23	std
std23-126-80-23	std
std17-521717-f-cm160-kg64	std
std17-599817-m-cm186-kg83	std
std16-15	std
std17-573217-f-N	std
std17-547317-m-cm187-kg75	std
std18-1821	std
std19-S182	std
std19-S212	std
std19-S229	std
std16-9	std
std18-18116	std
std17-513317-f-cm159-kg61	std
std23-161-119-23	std
std17-588617-f-cm159-kg44	std
std16-14	std
std18-18174	std
std19-S174	std
std19-S196	std
std23-139-96-23	std
std16-63	std
std17-599317-f-cm168-kg60	std
std23-136-93-23	std
std16-8	std
std18-18165	std
std16-50	std
std16-64	std
std18-18182	std
std23-135-92-23	std
std16-23	std
std17-571017-f-cm164-kg58	std
std23-122-71-23	std
std23-120-69-23	std
std19-S193	std
std23-163-121-23	std
std18-18149	std
std18-18184	std
std23-114-55-23	std
std16-37	std
std19-S175	std
std16-36	std
std23-153-111-23	std
std23-142-100-23	std
std18-18179	std
std19-S179	std
std19-S211	std
std17-563617-f-cm176-kg67	std
std23-150-108-23	std
std17-573317-m-cm179-kg80	std
std19-S213	std
std18-18155	std
std18-18133	std
std19-S221	std
std23-129-85-23	std
std16-30	std
std23-112-49-23	std
std16-12	std
std23-146-104-23	std
std23-124-76-23	std
std19-S183	std
std19-S176	std
std23-110-31-23	std
std17-530617-f-cm163-kg58	std
std23-131-87-23	std
std23-127-81-23	std
std16-7	std
std18-18157	std
std16-17	std
std19-S220	std
std23-115-57-23	std
std23-156-113-23	std
std18-18172	std
std18-18186	std
std16-58	std
std18-18148	std
std17-579217-f-cm176-kg62	std
std18-18134	std
std23-138-95-23	std
std17-556717-f-cm165-kg57	std
std23-125-77-23	std
std18-18163	std
std17-514017-m-cm177-kg71	std
std17-542317-m-cm178-kg68	std
std18-18187	std
std17-547517-m-cm193-kg78	std
std19-S177	std
std23-119-67-23	std
std16-28	std
std17-530917-m-cm203-kg97	std
std16-60	std
std17-589717-f-cm170-kg75	std
std16-47	std
std23-160-118-23	std
std23-151-109-23	std
std16-26	std
std17-502417-f-cm160-kg58	std
std19-S195	std
std19-S222	std
std23-158-115-23	std
std16-11	std
std18-18117	std
std18-18151	std
std17-557717-f-cm169-kg63	std
std18-1819	std
std17-597317-f-cm174-kg63	std
std17-525817-f-cm160-kg47	std
std17-582917-f-cm165-kg56	std
std19-S218	std
std17-525717-m-cm173-kg70	std
std18-18137	std
std19-S219	std
std18-18146	std
std18-18164	std
std16-57	std
std16-41	std
std18-18127	std
std19-S223	std
std17-548617-m-cm194-kg71	std
std16-16	std
std17-578117-f-cm160-kg48	std
std17-591417-m-cm179-kg73	std
std18-18135	std
std16-44	std
std18-18105	std
std19-S192	std
std19-S199	std
std23-157-114-23	std
std16-22	std
std17-559317-f-cm170-kg57	std
std16-32	std
std23-162-120-23	std
std17-508817-f-cm174-kg62	std
std19-S194	std
std19-S171	std
std16-54	std
std18-18166	std
std16-20	std
