	305-5-16641	304-4-78826	302-2-89334	306-6-83608	301-1-59020
Zotu1	1.10386175277729	0.838977362865337	0.804881215110996	0.373980749187665	1.35756280064137
Zotu2	0.931052724387233	0.183049606443346	1.36570167467221	0.717307338605849	1.28273650454303
Zotu3	0.811144418973726	0.176947952895235	1.31377385434246	2.85083685856171	0.676999821842152
Zotu4	1.36836536766002	1.41558362316188	1.99143190964559	0.456746980565263	3.38499910921076
Zotu5	7.06048315993652	5.68674110683995	5.15643255874335	0.263625774017534	9.2927133440228
Zotu6	1.76688414741668	0.0884739764476173	1.82526288459042	0.996260192508123	0.224478888295029
Zotu7	0.892258860871099	0.298981023857465	0.630923017006361	0.395438661026301	1.95973632638518
Zotu8	0	0.265421929342852	12.6080747760613	0.278952853902275	1.07963655799038
Zotu9	6.33045318286017	0	2.23289627417889	0.0367849917233769	1.5321574915375
Zotu10	0.652442250044084	4.59149429495393	2.5730234973387	0.797008154006499	14.430785676109
Zotu11	1.12502204196791	0.0610165354811154	0.207711281318967	0.248298694132794	0.199536789595582
Zotu12	0.32445776758949	0.210507047409848	1.4669609243152	0.150205382870456	0.47746303224657
Zotu13	0	0.463725669656477	3.84265870440088	1.9128195696156	1.02618920363442
Zotu14	0.176335743255158	0.268472756116908	1.28521355316111	0.435289068726626	0.103331551754855
Zotu15	0.0564274378416505	0.0152541338702788	0	0.364784501256821	0.823089257081774
Zotu16	0.821724563569035	0.326438464823967	0.0285603011813579	0.248298694132794	0.470336718332443
Zotu17	0.172809028390055	0.0732198425773385	0.225886018434376	0.232971614248053	0.245857830037413
Zotu18	0.126961735143714	0.0549148819330038	0.176554589121122	0.147139966893507	0.541599857473722
Zotu19	0.045847293246341	0.164744645799012	0.495910684149033	0	0.20666310350971
Zotu20	0	0.835926536091281	1.78372062832663	1.05450309607014	0.851594512738286
Zotu21	0.652442250044084	0.152541338702788	1.68505776970012	0.438354484703574	0.947799750579013
Zotu22	0.761770410862282	0.201354567087681	0.29339218486304	0.0888970633314941	0.238731516123285
Zotu23	0.0952213013577852	0.146439685154677	0.589380760742568	0.131812887008767	0.794584001425263
Zotu24	0.514900370305061	0.796265788028556	0	0.892036049291889	0.491715660074826
Zotu25	0.250396755422324	0.039660748062725	0.12462676879138	0.0337195757464288	0.106894708711919
Zotu26	1.31899135954858	0.0305082677405577	0	0.165532462755196	0
Zotu27	0	0.347794252242358	0	0.272822021948378	0.602173525743809
Zotu28	5.40998060306824	0.0213557874183904	0.244060755549786	0.327999509533444	0.47746303224657
