SampleID	slope	angle
305-5-16641	4.83804013399888e-12	2.77199280793043e-10
304-4-78826	2.98808858527072e-12	1.71204864747229e-10
301-1-59020	8.99005737578374e-13	5.15092345212865e-11
306-6-83608	8.77213254024815e-13	5.02606171885593e-11
302-2-89334	4.23302055346443e-15	2.42534212305643e-13
