	305-5-16641	304-4-78826	302-2-89334	306-6-83608	301-1-59020	taxonomy
Zotu36	0	6.84971627311001	41.5345969102947	99.7958432959353	39	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU915
Zotu37	1888.48598130841	17.124290682775	255.036998571985	81.7293544233953	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU852
Zotu38	41.5704461294304	46.2355848434926	41.5345969102947	19.787106860401	40	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;SOTU616
Zotu39	0	19.6929342851913	128.975853563547	32.6917417693581	147	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;SOTU765
Zotu40	0	17.124290682775	298.757626898611	344.123597572191	167	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;SOTU203
Zotu41	0	16.2680761486363	62.6662339348306	21.5077248482619	43	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumhalliigroup;SOTU18
Zotu42	40.5806736025392	0	0	57.6407025933419	126	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU508
Zotu43	500.824898606948	252.583287570932	574.926262495132	0	268	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;SOTU719
Zotu44	0	30.8237232289951	18.9456056082046	56.7803935994114	16	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeUCG-004;SOTU1114
Zotu45	141.537471345442	0	0	41.2948317086629	35	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;SOTU163
Zotu46	103.926115323576	20.54914881933	827.777229650785	0	192	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumeligensgroup;SOTU780
Zotu47	271.197672368189	36.8172249679663	219.331818771907	0	64	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcustorquesgroup;SOTU1189
Zotu48	0	374.165751418634	0	29.2505057936362	36	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU508
Zotu49	653.249867748193	0	302.401012592496	48.1773036601067	748	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU852
Zotu50	0	0	0	12.9046349089571	138	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;SOTU37
Zotu51	0	116.44517664287	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;SOTU794
Zotu52	0	95.0398132894014	794.986758405816	0	261	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumeligensgroup;SOTU780
Zotu53	718.574854523012	0	157.394261975854	199.591686591871	256	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU865
Zotu54	0	0	64.1235882123848	19.787106860401	153	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcustorquesgroup;SOTU1188
Zotu55	8.90795274202081	0	45.9066597429573	0	59	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;SOTU341
Zotu56	194.985187797567	0	20.4029598857588	4.30154496965238	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;CAG-56;SOTU482
Zotu57	415.704461294304	0	0	18.9267978664705	32	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;SOTU316
Zotu58	29.693175806736	0	21.1316370245359	0	20	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;SOTU1262
Zotu59	0	23.974006955885	0	400.903991171602	15	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;SOTU692
Zotu60	301.880620701816	20.54914881933	0	20.6474158543314	26	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;SOTU1070
Zotu61	39.590901075648	0	0	9.46339893323524	19	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacteriumxylanophilumgroup;SOTU23
Zotu62	0	0	102.014799428794	4.30154496965238	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;SOTU851
Zotu63	21.7749955916064	15.4118616144975	33.5191483837466	0	120	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;LachnospiraceaeNK4A136group;SOTU507
Zotu64	0	20.54914881933	40.8059197715176	15.4855618907486	8	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU326
Zotu65	36.6215834949744	15.4118616144975	17.4882513306504	13.7649439028876	10	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;SOTU250
Zotu66	261.299947099277	34.2485813655501	0	523.06786830973	14	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;SOTU318
Zotu67	94.0283900546641	14.5556470803588	0	0	78	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcusgauvreauiigroup;SOTU446
Zotu68	0	0	0	111.840169210962	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Eubacteriumsiraeumgroup;SOTU791
Zotu69	0	273.132436390262	0	714.056464962295	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;SOTU316
Zotu70	19.795450537824	11.9870034779425	18.9456056082046	0	22	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;SOTU560
Zotu71	113.823840592488	27.3988650924401	20.4029598857588	13.7649439028876	10	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;SOTU322
Zotu72	622.566919414565	34.2485813655501	0	186.687051682913	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214group;SOTU454
Zotu73	8.90795274202081	0	59.0228482409451	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;SOTU526
Zotu74	0	27.3988650924401	93.2706737634688	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;SOTU490
Zotu75	20.7852230647152	37.6734395021051	37.1625340776321	15.4855618907486	44	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;SOTU681
Zotu76	0	0	118.04569648189	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcustorquesgroup;SOTU1190
Zotu77	0	16.2680761486363	82.3405166818123	45.5963766783152	74	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;ChristensenellaceaeR-7group;SOTU387
Zotu78	8.90795274202081	49.6604429800476	79.4258081267039	67.1041015265772	18	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;SOTU341
